variable,transformacion,n,adf_estadistico,adf_p,adf_rezagos,kpss_estadistico,kpss_p
ln_trm,nivel,244,-0.9830678205378113,0.7593897217357182,1,1.9742293566265932,0.01
ln_trm,primera_diferencia,243,-11.745300998776159,1.2456149710377587e-21,0,0.129921498750035,0.1
ln_terminos_intercambio,nivel,244,-2.0764914454208245,0.25407195884247635,0,0.21075989062524572,0.1
ln_terminos_intercambio,primera_diferencia,243,-14.479183159902398,6.4145206277803906e-27,0,0.06679702113236356,0.1
ln_remesas_12m,nivel,244,1.6448989717870002,0.99798621626656,13,2.078890294373042,0.01
ln_remesas_12m,primera_diferencia,243,-4.631700848954843,0.00011286285754458904,2,0.3213722223498939,0.1
diferencial_tasas_pp,nivel,244,-2.9327822323521047,0.04166652507524662,4,0.1499946175857981,0.1
diferencial_tasas_pp,primera_diferencia,243,-4.3947167110330625,0.0003032888512009203,3,0.058388526146108066,0.1
deficit_fiscal_12m_pct_pib,nivel,244,-1.9553093303102476,0.30650539465261306,0,1.3418922501227946,0.01
deficit_fiscal_12m_pct_pib,primera_diferencia,243,-15.880955457887152,8.759313860264154e-29,0,0.0525732780697349,0.1
ln_dolar_amplio,nivel,244,-1.200063175314611,0.673568534916556,1,1.969019643962784,0.01
ln_dolar_amplio,primera_diferencia,243,-10.166322841647677,7.282951599038886e-18,0,0.09611315770471171,0.1
ln_vix,nivel,244,-4.478194746429897,0.00021527036972252215,0,0.17200899474705167,0.1
ln_vix,primera_diferencia,243,-12.989838432765263,2.8276229018665375e-24,1,0.05050536286365416,0.1
embig_colombia_pp,nivel,244,-3.4070236914026664,0.010721752118990882,1,0.6910865472533331,0.014355768431515174
embig_colombia_pp,primera_diferencia,243,-12.792670993796778,7.022409543207317e-24,0,0.027443014077240292,0.1
ln_reservas_netas_sin_flar,nivel,244,-3.275473245529511,0.016011057117075855,1,2.103662394457461,0.01
ln_reservas_netas_sin_flar,primera_diferencia,243,-10.038389577273742,1.5190819173479467e-17,0,0.8278384681596641,0.01
asinh_balanza_comercial,nivel,244,-0.8263337867356818,0.8112640816137278,4,2.029481510290614,0.01
asinh_balanza_comercial,primera_diferencia,243,-12.236672338157163,1.024408826545463e-22,3,0.13831430190768196,0.1
asinh_flujos_capital,nivel,244,-0.5111787624352616,0.8898165130942965,5,2.1808237211220134,0.01
asinh_flujos_capital,primera_diferencia,243,-11.98940681234834,3.5499930862598484e-22,4,0.5000000000000009,0.04166666666666647
diferencial_bei_5y_pp,nivel,244,-3.3411502152767913,0.013136316697663707,1,0.30403351764484754,0.1
diferencial_bei_5y_pp,primera_diferencia,243,-11.27020455269189,1.543594923867444e-20,1,0.05972588778441204,0.1
diferencial_bei_5y_comun_pp,nivel,244,-3.2992557356843935,0.014911775924344815,1,0.3038202074951382,0.1
diferencial_bei_5y_comun_pp,primera_diferencia,243,-11.769298379947397,1.0996911569719339e-21,0,0.057457051890952925,0.1
